date,close,high,low,open,volume
2020-01-02,72.46826934814453,72.5285891982157,71.22326675908423,71.47660718407792,135480400
2020-01-03,71.76371002197266,72.5237384458872,71.5393220101689,71.69615210347494,146322800
2020-01-06,72.3355484008789,72.37415398165305,70.6345318765685,70.88546446996966,118387200
2020-01-07,71.995361328125,72.60096759515153,71.7757961977681,72.34521202863968,108872000
2020-01-08,73.15348815917969,73.45508735263148,71.6985739444987,71.6985739444987,132079200
2020-01-09,74.70732879638672,74.90034933748393,73.8797423656215,74.13066759639553,170108400
2020-01-10,74.87621307373047,75.44081319943417,74.37435529486838,74.94136320691373,140644800
2020-01-13,76.47590637207031,76.50245093143005,75.07407383392189,75.1923057311866,121532000
2020-01-14,75.44322967529297,76.62308929816353,75.32018220682278,76.41317742986432,161954400
2020-01-15,75.11991882324219,76.12364189473249,74.6880266854858,75.2429736592525,121923600
2020-01-16,76.06090545654297,76.17189926714461,75.3008769215495,75.66279597280943,108829200
2020-01-17,76.9029769897461,76.90538477645106,76.00300228022495,76.30942443229468,137816400
2020-01-21,76.38182067871094,76.97295078497612,76.2442896548719,76.53141272712692,110843200
2020-01-22,76.65447235107422,77.2069969045426,76.56036984576589,76.86679204908404,101832400
2020-01-23,77.02363586425781,77.10325483712239,76.15985137274346,76.70756039684032,104472000
2020-01-24,76.80164337158203,78.01286327957854,76.61103058846822,77.26972598534742,146537600
2020-01-27,74.54327392578125,75.22367624090043,73.56126499598109,74.81109052667422,161940000
2020-01-28,76.65205383300781,76.8233601467646,75.32501712161712,75.42394256005781,162234000
2020-01-29,78.25655364990234,79.103446634538,77.54236874294361,78.28309821074268,216229200
2020-01-30,78.14315795898438,78.19623972141919,76.9078086113338,77.33970079826872,126743200
2020-01-31,74.67839813232422,77.85604407632879,74.38403693557139,77.43380507723946,199588400
2020-02-03,74.47329711914062,75.63867332859459,72.91945726436026,73.42131515382538,173788400
2020-02-04,76.93193817138672,77.12255095912198,75.67245940871321,76.07780703357612,136616400
2020-02-05,77.55924987792969,78.35788393608293,76.95605150390088,78.05869253554688,118826800
2020-02-06,78.46646118164062,78.4688763315637,77.27213272836197,77.82948747921107,105425600
2020-02-07,77.39988708496094,78.21492705790754,76.9089278720762,77.9658198194633,117684000
2020-02-10,77.76749420166016,77.76749420166016,75.90523855208762,75.98504645076437,109348800
2020-02-11,77.29832458496094,78.33587187126635,77.08065923180118,78.26331921379253,94323200
2020-02-12,79.13397979736328,79.13881418044723,77.74816513747918,77.74816513747918,113730400
2020-02-13,78.57048034667969,78.89698211544386,78.20286785946678,78.40602271140597,94747600
2020-02-14,78.58981323242188,78.83892050632156,78.08192253766144,78.53901899642953,80113600
2020-02-18,77.15079498291016,77.33218399932765,76.08906106405882,76.27045008047632,152531200
2020-02-19,78.26814270019531,78.49790505143669,77.39263964512776,77.39263964512776,93984000
2020-02-20,77.46519470214844,78.51725240619737,76.95972489443142,78.02871401030635,100566000
2020-02-21,75.71175384521484,77.50146427081181,75.09503429364842,77.05887104659352,129554000
2020-02-24,72.11544799804688,73.56656040872682,69.95087641389293,71.89294822829001,222195200
2020-02-25,69.67272186279297,73.16748626275555,69.20111488480276,72.7853633450679,230673600
